thorax_flexion_extension,,,thorax_inclinaison_laterale,,,thorax_rotation,,,tete_flexion_extension,,,bras_droit_flexion_extension,,,bras_droit_abduction_adduction,,,bras_droit_rotation_ext_int,,,abras_droit_flexion_extension,,,bras_gauche_flexion_extension,,,bras_gauche_abduction_adduction,,,bras_gauche_rotation_ext_int,,,abras_gauche_flexion_extension,,,cuisses_flexion_extension,,,cuisses_inclinaison_laterale,,,cuisses_rotation,,,jambes_flexion_extension,,,pieds_flexion_extension,,,
T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,T,Q,Qdot,
0.000000,-0.346471,-4.437794,0.000000,0.045045,-2.637104,0.000000,0.281500,3.390650,0.000000,-0.398220,0.129929,0.000000,6.364707,-3.478868,0.000000,3.244727,-1.568283,0.000000,-4.872838,4.249918,0.000000,0.301262,6.949788,0.000000,3.115253,-1.904119,0.000000,0.231574,7.818504,0.000000,-3.010611,-1.622672,0.000000,0.708307,8.292577,0.000000,-0.113668,-0.904766,0.000000,-0.037251,-0.224287,0.000000,-0.079526,-0.215927,0.000000,0.508268,1.159041,0.000000,0.426794,-1.378526,
0.003333,-0.361259,-4.434275,0.003333,0.036254,-2.637763,0.003333,0.292802,3.390740,0.003333,-0.397791,0.125743,0.003333,6.353111,-3.479143,0.003333,3.239499,-1.568193,0.003333,-4.858670,4.251362,0.003333,0.324433,6.954196,0.003333,3.108906,-1.904653,0.003333,0.257640,7.821794,0.003333,-3.016007,-1.611033,0.003333,0.735950,8.293396,0.003333,-0.116680,-0.901160,0.003333,-0.037999,-0.224309,0.003333,-0.080243,-0.213426,0.003333,0.512140,1.166550,0.003333,0.422211,-1.367851,
0.006667,-0.376022,-4.420851,0.006667,0.027458,-2.640506,0.006667,0.304105,3.391016,0.006667,-0.397394,0.110102,0.006667,6.341512,-3.479887,0.006667,3.234273,-1.567629,0.006667,-4.844493,4.255487,0.006667,0.347637,6.970697,0.006667,3.102553,-1.907373,0.006667,0.283730,7.834398,0.006667,-3.021315,-1.566680,0.006667,0.763599,8.296331,0.006667,-0.119665,-0.887494,0.006667,-0.038747,-0.224325,0.006667,-0.080941,-0.203760,0.006667,0.516068,1.194519,0.006667,0.417707,-1.328528,
0.010000,-0.390715,-4.392435,0.010000,0.018647,-2.646938,0.010000,0.315409,3.391388,0.010000,-0.397076,0.077812,0.010000,6.329911,-3.480662,0.010000,3.229050,-1.565800,0.010000,-4.830300,4.260448,0.010000,0.370924,7.004708,0.010000,3.096184,-1.915007,0.010000,0.309885,7.861284,0.010000,-3.026397,-1.472889,0.010000,0.791262,8.302029,0.010000,-0.122580,-0.858732,0.010000,-0.039494,-0.224187,0.010000,-0.081589,-0.183027,0.010000,0.520136,1.251870,0.010000,0.413398,-1.249035,
0.013333,-0.405283,-4.345128,0.013333,0.009806,-2.658512,0.013333,0.326714,3.391442,0.013333,-0.396898,0.025674,0.013333,6.318309,-3.481014,0.013333,3.223837,-1.561554,0.013333,-4.816094,4.262171,0.013333,0.394358,7.059434,0.013333,3.089777,-1.931090,0.013333,0.336159,7.906603,0.013333,-3.031066,-1.317389,0.013333,0.818949,8.310682,0.013333,-0.125369,-0.811184,0.013333,-0.040241,-0.223654,0.013333,-0.082145,-0.148173,0.013333,0.524452,1.343776,0.013333,0.409431,-1.123480,
0.016667,-0.419659,-4.276245,0.016667,0.000916,-2.676360,0.016667,0.338017,3.390327,0.016667,-0.396928,-0.047421,0.016667,6.306705,-3.481286,0.016667,3.218643,-1.553880,0.016667,-4.801894,4.256269,0.016667,0.418012,7.136743,0.016667,3.083297,-1.959721,0.016667,0.362620,7.973785,0.016667,-3.035102,-1.092424,0.016667,0.846670,8.322222,0.016667,-0.127964,-0.742333,0.016667,-0.040984,-0.222449,0.016667,-0.082559,-0.097066,0.016667,0.529135,1.471978,0.016667,0.405961,-0.950676,
0.020000,-0.433765,-4.183255,0.020000,-0.008045,-2.701434,0.020000,0.349314,3.386918,0.020000,-0.397236,-0.140991,0.020000,6.295099,-3.482599,0.020000,3.213482,-1.542245,0.020000,-4.787731,4.239233,0.020000,0.441963,7.237857,0.020000,3.076694,-2.005257,0.020000,0.389345,8.065395,0.020000,-3.038267,-0.794382,0.020000,0.874433,8.336266,0.020000,-0.130293,-0.651869,0.020000,-0.041723,-0.220275,0.020000,-0.082773,-0.028503,0.020000,0.534304,1.634835,0.020000,0.403143,-0.733105,
0.023333,-0.447517,-4.062970,0.023333,-0.017102,-2.734473,0.023333,0.360593,3.380056,0.023333,-0.397889,-0.253629,0.023333,6.283485,-3.486448,0.023333,3.208366,-1.526412,0.023333,-4.773648,4.208314,0.023333,0.466291,7.363215,0.023333,3.069905,-2.072051,0.023333,0.416418,8.183133,0.023333,-3.040317,-0.423263,0.023333,0.902247,8.352038,0.023333,-0.132289,-0.542329,0.023333,-0.042451,-0.216819,0.023333,-0.082729,0.057866,0.023333,0.540067,1.827646,0.023333,0.401118,-0.475793,
0.026667,-0.460817,-3.911957,0.026667,-0.026284,-2.775923,0.026667,0.371842,3.368643,0.026667,-0.398946,-0.383261,0.026667,6.271851,-3.494569,0.026667,3.203311,-1.506295,0.026667,-4.759693,4.161449,0.026667,0.491077,7.512433,0.026667,3.062852,-2.164382,0.026667,0.443929,8.327887,0.026667,-3.041011,0.017830,0.026667,0.930114,8.368420,0.026667,-0.133893,-0.418410,0.026667,-0.043166,-0.211761,0.026667,-0.082368,0.161580,0.026667,0.546514,2.043297,0.026667,0.400008,-0.185363,
0.030000,-0.473560,-3.727869,0.030000,-0.035618,-2.825885,0.030000,0.383044,3.351703,0.030000,-0.400460,-0.527033,0.030000,6.260181,-3.508987,0.030000,3.198329,-1.481839,0.030000,-4.745924,4.097133,0.030000,0.516399,7.684340,0.030000,3.055442,-2.286581,0.030000,0.471968,8.499783,0.030000,-3.040126,0.523242,0.030000,0.958035,8.383989,0.030000,-0.135068,-0.285297,0.030000,-0.043861,-0.204802,0.030000,-0.081634,0.281432,0.030000,0.553705,2.273156,0.030000,0.399911,0.130700,
0.033333,-0.485633,-3.510569,0.033333,-0.045132,-2.884174,0.033333,0.394180,3.328419,0.033333,-0.402471,-0.681263,0.033333,6.248448,-3.531991,0.033333,3.193437,-1.453076,0.033333,-4.732400,4.014376,0.033333,0.542329,7.877183,0.033333,3.047570,-2.443045,0.033333,0.500624,8.698155,0.033333,-3.037460,1.085324,0.033333,0.986005,8.397076,0.033333,-0.135789,-0.147046,0.033333,-0.044529,-0.195695,0.033333,-0.080476,0.415546,0.033333,0.561673,2.508008,0.033333,0.400899,0.464623,
0.036667,-0.496929,-3.261813,0.036667,-0.054854,-2.950396,0.036667,0.405226,3.298124,0.036667,-0.405009,-0.841848,0.036667,6.236622,-3.565926,0.036667,3.188647,-1.420218,0.036667,-4.719182,3.912808,0.036667,0.568935,8.088832,0.036667,3.039113,-2.637889,0.036667,0.529983,8.921528,0.036667,-3.032838,1.694875,0.036667,1.014011,8.405850,0.036667,-0.136046,-0.006540,0.036667,-0.045163,-0.184261,0.036667,-0.078850,0.561514,0.036667,0.570420,2.738565,0.036667,0.403019,0.808796,
0.040000,-0.507347,-2.984842,0.040000,-0.064810,-3.023962,0.040000,0.416159,3.260267,0.040000,-0.408086,-1.004737,0.040000,6.224661,-3.613033,0.040000,3.183973,-1.383613,0.040000,-4.706335,3.792743,0.040000,0.596273,8.316858,0.040000,3.029937,-2.874587,0.040000,0.560126,9.167758,0.040000,-3.026120,2.341550,0.040000,1.042037,8.408470,0.040000,-0.135832,0.134416,0.040000,-0.045755,-0.170402,0.040000,-0.076722,0.716514,0.040000,0.579916,2.955841,0.040000,0.406294,1.156045,
0.043333,-0.516801,-2.683969,0.043333,-0.075021,-3.104110,0.043333,0.426952,3.214357,0.043333,-0.411705,-1.166320,0.043333,6.212518,-3.675323,0.043333,3.179426,-1.343716,0.043333,-4.693917,3.655207,0.043333,0.624396,8.558615,0.043333,3.019899,-3.155604,0.043333,0.591124,9.434178,0.043333,-3.017199,3.014215,0.043333,1.070059,8.403229,0.043333,-0.135150,0.274890,0.043333,-0.046296,-0.154125,0.043333,-0.074067,0.877402,0.043333,0.590102,3.151400,0.043333,0.410723,1.499753,
0.046667,-0.525219,-2.364143,0.046667,-0.085510,-3.189937,0.046667,0.437578,3.159872,0.046667,-0.415857,-1.323715,0.046667,6.200140,-3.754526,0.046667,3.175018,-1.301080,0.046667,-4.681984,3.501932,0.046667,0.653343,8.811323,0.046667,3.008849,-3.482084,0.046667,0.623039,9.717768,0.046667,-3.006009,3.701216,0.046667,1.098048,8.388710,0.046667,-0.134001,0.414578,0.046667,-0.046780,-0.135550,0.046667,-0.070870,1.040838,0.046667,0.600893,3.317569,0.046667,0.416282,1.833910,
0.050000,-0.532547,-2.030560,0.050000,-0.096293,-3.280475,0.050000,0.448008,3.096191,0.050000,-0.420523,-1.474776,0.050000,6.187467,-3.852076,0.050000,3.170755,-1.256430,0.050000,-4.670585,3.335327,0.050000,0.683147,9.072254,0.050000,2.996635,-3.853636,0.050000,0.655924,10.015256,0.050000,-2.992521,4.390638,0.050000,1.125972,8.363871,0.050000,-0.132387,0.553550,0.050000,-0.047198,-0.114924,0.050000,-0.067129,1.203411,0.050000,0.612179,3.447590,0.050000,0.422932,2.153133,
