T,pp #1,,,,ppdot #1,,,ppddot #1,,pp #2,,,,ppdot #2,,,ppddot #2,,pp #3,,,,ppdot #3,,,ppddot #3,,pp #4,,,,ppdot #4,,,ppddot #4,,pp #5,,,,ppdot #5,,,ppddot #5,,pp #6,,,,ppdot #6,,,ppddot #6,,pp #7,,,,ppdot #7,,,ppddot #7,,pp #8,,,,ppdot #8,,,ppddot #8,,pp #9,,,,ppdot #9,,,ppddot #9,,pp #10,,,,ppdot #10,,,ppddot #10,,pp #11,,,,ppdot #11,,,ppddot #11,,pp #12,,,,ppdot #12,,,ppddot #12,,pp #13,,,,ppdot #13,,,ppddot #13,,pp #14,,,,ppdot #14,,,ppddot #14,,pp #15,,,,ppdot #15,,,ppddot #15,,pp #16,,,,ppdot #16,,,ppddot #16,,pp #17,,,,ppdot #17,,,ppddot #17,,pp #18,,,,ppdot #18,,,ppddot #18,,pp #19,,,,ppdot #19,,,ppddot #19,,pp #20,,,,ppdot #20,,,ppddot #20,,pp #21,,,,ppdot #21,,,ppddot #21,,pp #22,,,,ppdot #22,,,ppddot #22,,pp #23,,,,ppdot #23,,,ppddot #23,,
0.000000,0.060925,0.000000,0.145589,0.515575,0.182774,0.000000,0.145589,0.365548,0.000000,-13.122720,0.000000,-1.079313,-0.237847,-39.368159,0.000000,-1.079313,-78.736317,0.000000,-22.886217,0.000000,2.117973,0.922445,-68.658652,0.000000,2.117973,-137.317304,0.000000,12.563166,0.000000,3.632975,0.658393,37.689499,0.000000,3.632975,75.378997,0.000000,6.548836,0.000000,1.894812,0.148690,19.646507,0.000000,1.894812,39.293014,0.000000,29.988633,0.000000,2.758295,0.255467,89.965898,0.000000,2.758295,179.931796,0.000000,105.574666,0.000000,-4.437794,-0.346471,316.723997,0.000000,-4.437794,633.447995,0.000000,-19.772487,0.000000,-2.637104,0.045045,-59.317461,0.000000,-2.637104,-118.634922,0.000000,2.677165,0.000000,3.390650,0.281500,8.031495,0.000000,3.390650,16.062991,0.000000,-125.586750,0.000000,0.129929,-0.398220,-376.760249,0.000000,0.129929,-753.520499,0.000000,-8.263803,0.000000,-3.478868,6.364707,-24.791409,0.000000,-3.478868,-49.582818,0.000000,2.721691,0.000000,-1.568283,3.244727,8.165072,0.000000,-1.568283,16.330144,0.000000,43.321182,0.000000,4.249918,-4.872838,129.963546,0.000000,4.249918,259.927093,0.000000,132.236007,0.000000,6.949788,0.301262,396.708022,0.000000,6.949788,793.416044,0.000000,-16.032214,0.000000,-1.904119,3.115253,-48.096642,0.000000,-1.904119,-96.193284,0.000000,98.682384,0.000000,7.818504,0.231574,296.047151,0.000000,7.818504,592.094303,0.000000,349.169918,0.000000,-1.622672,-3.010611,1047.509754,0.000000,-1.622672,2095.019508,0.000000,24.591661,0.000000,8.292577,0.708307,73.774983,0.000000,8.292577,147.549966,0.000000,108.190419,0.000000,-0.904766,-0.113668,324.571258,0.000000,-0.904766,649.142516,0.000000,-0.634654,0.000000,-0.224287,-0.037251,-1.903961,0.000000,-0.224287,-3.807921,0.000000,75.030909,0.000000,-0.215927,-0.079526,225.092727,0.000000,-0.215927,450.185455,0.000000,225.289349,0.000000,1.159041,0.508268,675.868047,0.000000,1.159041,1351.736095,0.000000,320.237833,0.000000,-1.378526,0.426794,960.713499,0.000000,-1.378526,1921.426997,0.000000,
0.003333,1.783067,0.000609,0.145591,0.516060,5.349201,0.001218,0.145591,10.698402,0.001218,-23.357264,-0.131227,-1.079751,-0.241445,-70.071791,-0.262454,-1.079751,-140.143581,-0.262454,-42.604023,-0.228862,2.117210,0.929504,-127.812070,-0.457724,2.117210,-255.624140,-0.457724,21.650506,0.125632,3.633393,0.670504,64.951519,0.251263,3.633393,129.903038,0.251263,12.932049,0.065488,1.895030,0.155006,38.796148,0.130977,1.895030,77.592296,0.130977,55.174049,0.299886,2.759295,0.264663,165.522148,0.599773,2.759295,331.044295,0.599773,191.564609,1.055747,-4.434275,-0.361259,574.693826,2.111493,-4.434275,1149.387653,2.111493,-42.738658,-0.197725,-2.637763,0.036254,-128.215975,-0.395450,-2.637763,-256.431949,-0.395450,2.934280,0.026772,3.390740,0.292802,8.802841,0.053543,3.390740,17.605681,0.053543,-218.046651,-1.255867,0.125743,-0.397791,-654.139952,-2.511735,0.125743,-1308.279903,-2.511735,-5.766214,-0.082638,-3.479143,6.353111,-17.298642,-0.165276,-3.479143,-34.597283,-0.165276,11.465933,0.027217,-1.568193,3.239499,34.397800,0.054434,-1.568193,68.795600,0.054434,37.111234,0.433212,4.251362,-4.858670,111.333701,0.866424,4.251362,222.667403,0.866424,230.543583,1.322360,6.954196,0.324433,691.630750,2.644720,6.954196,1383.261499,2.644720,-49.536968,-0.160322,-1.904653,3.108906,-148.610903,-0.320644,-1.904653,-297.221806,-0.320644,180.768037,0.986824,7.821794,0.257640,542.304110,1.973648,7.821794,1084.608221,1.973648,632.251720,3.491699,-1.611033,-3.016007,1896.755160,6.983398,-1.611033,3793.510319,6.983398,38.850443,0.245917,8.293396,0.735950,116.551328,0.491833,8.293396,233.102657,0.491833,193.579938,1.081904,-0.901160,-0.116680,580.739814,2.163808,-0.901160,1161.479628,2.163808,0.779240,-0.006347,-0.224309,-0.037999,2.337720,-0.012693,-0.224309,4.675440,-0.012693,139.898139,0.750309,-0.213426,-0.080243,419.694417,1.500618,-0.213426,839.388833,1.500618,388.483752,2.252893,1.166550,0.512140,1165.451257,4.505787,1.166550,2330.902513,4.505787,539.236445,3.202378,-1.367851,0.422211,1617.709335,6.404757,-1.367851,3235.418671,6.404757,
0.006667,4.945667,0.018440,0.145654,0.516545,14.837001,0.036880,0.145654,29.674001,0.036880,-31.135601,-0.364800,-1.081404,-0.245046,-93.406803,-0.729600,-1.081404,-186.813607,-0.729600,-59.176787,-0.654902,2.114264,0.936557,-177.530362,-1.309805,2.114264,-355.060724,-1.309805,26.242534,0.342137,3.634953,0.682617,78.727602,0.684273,3.634953,157.455203,0.684273,18.579254,0.194809,1.895898,0.161324,55.737761,0.389618,1.895898,111.475521,0.389618,77.630307,0.851627,2.763133,0.273866,232.890920,1.703254,2.763133,465.781840,1.703254,258.207034,2.971393,-4.420851,-0.376022,774.621103,5.942785,-4.420851,1549.242206,5.942785,-67.949252,-0.625111,-2.640506,0.027458,-203.847757,-1.250223,-2.640506,-407.695514,-1.250223,-0.046494,0.056114,3.391016,0.304105,-0.139483,0.112229,3.391016,-0.278967,0.112229,-281.425838,-3.436334,0.110102,-0.397394,-844.277515,-6.872668,0.110102,-1688.555029,-6.872668,4.806046,-0.140300,-3.479887,6.341512,14.418138,-0.280600,-3.479887,28.836275,-0.280600,26.503567,0.141876,-1.567629,3.234273,79.510700,0.283752,-1.567629,159.021401,0.283752,-12.034490,0.804324,4.255487,-4.844493,-36.103470,1.608648,4.255487,-72.206940,1.608648,294.770647,3.627796,6.970697,0.347637,884.311942,7.255592,6.970697,1768.623884,7.255592,-97.879250,-0.655692,-1.907373,3.102553,-293.637749,-1.311384,-1.907373,-587.275497,-1.311384,247.665011,2.794504,7.834398,0.283730,742.995033,5.589008,7.834398,1485.990065,5.589008,850.905359,9.814216,-1.566680,-3.021315,2552.716077,19.628433,-1.566680,5105.432154,19.628433,44.065710,0.634421,8.296331,0.763599,132.197129,1.268842,8.296331,264.394258,1.268842,259.327885,3.017704,-0.887494,-0.119665,777.983655,6.035407,-0.887494,1555.967309,6.035407,3.860032,0.001446,-0.224325,-0.038747,11.580096,0.002892,-0.224325,23.160191,0.002892,192.131716,2.149290,-0.203760,-0.080941,576.395147,4.298581,-0.203760,1152.790294,4.298581,492.963232,6.137731,1.194519,0.516068,1478.889697,12.275462,1.194519,2957.779394,12.275462,665.845819,8.594743,-1.328528,0.417707,1997.537458,17.189486,-1.328528,3995.074917,17.189486,
0.010000,7.757734,0.067897,0.145942,0.517031,23.273202,0.135793,0.145942,46.546403,0.135793,-35.817886,-0.676156,-1.084874,-0.248656,-107.453659,-1.352312,-1.084874,-214.907317,-1.352312,-72.678156,-1.246670,2.107925,0.943595,-218.034467,-2.493341,2.107925,-436.068933,-2.493341,27.894458,0.604562,3.638108,0.694739,83.683374,1.209124,3.638108,167.366748,1.209124,22.121522,0.380601,1.897816,0.167647,66.364567,0.761203,1.897816,132.729133,0.761203,96.953908,1.627930,2.771398,0.283089,290.861724,3.255860,2.771398,581.723448,3.255860,308.509416,5.553463,-4.392435,-0.390715,925.528249,11.106926,-4.392435,1851.056498,11.106926,-86.297456,-1.304604,-2.646938,0.018647,-258.892369,-2.609208,-2.646938,-517.784739,-2.609208,-9.512955,0.055650,3.391388,0.315409,-28.538864,0.111299,3.391388,-57.077728,0.111299,-314.015458,-6.250592,0.077812,-0.397076,-942.046374,-12.501185,0.077812,-1884.092747,-12.501185,7.881962,-0.092240,-3.480662,6.329911,23.645887,-0.184479,-3.480662,47.291775,-0.184479,45.979825,0.406912,-1.565800,3.229050,137.939474,0.813824,-1.565800,275.878948,0.813824,-85.081806,0.683979,4.260448,-4.830300,-255.245418,1.367959,4.260448,-510.490835,1.367959,326.698002,6.575502,7.004708,0.370924,980.094007,13.151005,7.004708,1960.188014,13.151005,-155.598488,-1.634484,-1.915007,3.096184,-466.795463,-3.268969,-1.915007,-933.590925,-3.268969,305.351740,5.271154,7.861284,0.309885,916.055220,10.542309,7.861284,1832.110439,10.542309,1000.320698,18.323270,-1.472889,-3.026397,3000.962093,36.646540,-1.472889,6001.924185,36.646540,44.585301,1.075078,8.302029,0.791262,133.755904,2.150156,8.302029,267.511808,2.150156,304.262641,5.610982,-0.858732,-0.122580,912.787922,11.221965,-0.858732,1825.575843,11.221965,7.969232,0.040046,-0.224187,-0.039494,23.907696,0.080092,-0.224187,47.815393,0.080092,231.513450,4.070608,-0.183027,-0.081589,694.540350,8.141215,-0.183027,1389.080700,8.141215,543.726802,11.067363,1.251870,0.520136,1631.180405,22.134727,1.251870,3262.360811,22.134727,715.993685,15.253201,-1.249035,0.413398,2147.981055,30.506402,-1.249035,4295.962110,30.506402,
0.013333,11.297695,0.145474,0.146653,0.517519,33.893085,0.290948,0.146653,67.786171,0.290948,-39.278762,-1.034335,-1.090575,-0.252281,-117.836285,-2.068669,-1.090575,-235.672571,-2.068669,-82.279678,-1.973452,2.097191,0.950605,-246.839033,-3.946904,2.097191,-493.678067,-3.946904,23.882442,0.883507,3.643068,0.706873,71.647326,1.767013,3.643068,143.294652,1.767013,23.802505,0.601817,1.901091,0.173978,71.407515,1.203633,1.901091,142.815030,1.203633,114.111653,2.597469,2.785483,0.292348,342.334958,5.194938,2.785483,684.669916,5.194938,338.783837,8.638557,-4.345128,-0.405283,1016.351510,17.277115,-4.345128,2032.703019,17.277115,-101.919600,-2.167579,-2.658512,0.009806,-305.758801,-4.335157,-2.658512,-611.517603,-4.335157,-25.575827,-0.039480,3.391442,0.326714,-76.727482,-0.078960,3.391442,-153.454964,-0.078960,-314.724277,-9.390747,0.025674,-0.396898,-944.172830,-18.781494,0.025674,-1888.345661,-18.781494,-5.476359,-0.013420,-3.481014,6.318309,-16.429078,-0.026840,-3.481014,-32.858156,-0.026840,56.881958,0.866710,-1.561554,3.223837,170.645874,1.733420,-1.561554,341.291748,1.733420,-143.705470,-0.166839,4.262171,-4.816094,-431.116409,-0.333678,4.262171,-862.232817,-0.333678,350.751400,9.842482,7.059434,0.394358,1052.254199,19.684965,7.059434,2104.508398,19.684965,-220.826729,-3.190469,-1.931090,3.089777,-662.480188,-6.380938,-1.931090,-1324.960376,-6.380938,350.529871,8.324672,7.906603,0.336159,1051.589614,16.649343,7.906603,2103.179227,16.649343,1083.654254,28.326477,-1.317389,-3.031066,3250.962761,56.652954,-1.317389,6501.925523,56.652954,42.008024,1.520931,8.310682,0.818949,126.024072,3.041862,8.310682,252.048143,3.041862,334.790486,8.653609,-0.811184,-0.125369,1004.371459,17.307218,-0.811184,2008.742919,17.307218,12.197961,0.119739,-0.223654,-0.040241,36.593884,0.239477,-0.223654,73.187768,0.239477,256.047627,6.385742,-0.148173,-0.082145,768.142881,12.771484,-0.148173,1536.285761,12.771484,545.137655,16.504631,1.343776,0.524452,1635.412965,33.009263,1.343776,3270.825930,33.009263,701.507768,22.413138,-1.123480,0.409431,2104.523305,44.826276,-1.123480,4209.046610,44.826276,
0.016667,14.684349,0.258451,0.148000,0.518010,44.053046,0.516902,0.148000,88.106093,0.516902,-39.378191,-1.427122,-1.098780,-0.255930,-118.134572,-2.854245,-1.098780,-236.269143,-2.854245,-88.349704,-2.796249,2.081292,0.957571,-265.049111,-5.592497,2.081292,-530.098223,-5.592497,41.701484,1.122331,3.649755,0.719028,125.104452,2.244662,3.649755,250.208904,2.244662,31.588907,0.839842,1.905896,0.180322,94.766720,1.679683,1.905896,189.533440,1.679683,122.721708,3.738585,2.806603,0.301666,368.165125,7.477171,2.806603,736.330250,7.477171,384.410425,12.026396,-4.276245,-0.419659,1153.231275,24.052791,-4.276245,2306.462550,24.052791,-114.862218,-3.186775,-2.676360,0.000916,-344.586655,-6.373549,-2.676360,-689.173311,-6.373549,-43.208274,-0.295238,3.390327,0.338017,-129.624823,-0.590477,3.390327,-259.249647,-0.590477,-299.477886,-12.537990,-0.047421,-0.396928,-898.433657,-25.075979,-0.047421,-1796.867314,-25.075979,-25.742282,-0.068184,-3.481286,6.306705,-77.226845,-0.136367,-3.481286,-154.453690,-0.136367,61.953770,1.435530,-1.553880,3.218643,185.861311,2.871059,-1.553880,371.722623,2.871059,-190.290742,-1.603893,4.256269,-4.801894,-570.872227,-3.207787,4.256269,-1141.744455,-3.207787,363.447093,13.349996,7.136743,0.418012,1090.341279,26.699993,7.136743,2180.682558,26.699993,-286.317642,-5.398736,-1.959721,3.083297,-858.952927,-10.797473,-1.959721,-1717.905855,-10.797473,382.285913,11.829970,7.973785,0.362620,1146.857739,23.659941,7.973785,2293.715478,23.659941,1108.670847,39.163019,-1.092424,-3.035102,3326.012540,78.326039,-1.092424,6652.025080,78.326039,33.105684,1.941011,8.322222,0.846670,99.317053,3.882023,8.322222,198.634106,3.882023,313.620959,12.001514,-0.742333,-0.127964,940.862878,24.003027,-0.742333,1881.725756,24.003027,16.873288,0.241718,-0.222449,-0.040984,50.619865,0.483436,-0.222449,101.239730,0.483436,267.664718,8.946218,-0.097066,-0.082559,802.994154,17.892437,-0.097066,1605.988309,17.892437,494.507772,21.956008,1.471978,0.529135,1483.523315,43.912016,1.471978,2967.046630,43.912016,641.474307,29.428216,-0.950676,0.405961,1924.422920,58.856431,-0.950676,3848.845841,58.856431,
0.020000,17.831108,0.405294,0.150212,0.518506,53.493323,0.810589,0.150212,106.986647,0.810589,-37.150861,-1.820904,-1.109607,-0.259610,-111.452583,-3.641808,-1.109607,-222.905166,-3.641808,-91.262802,-3.679746,2.059706,0.964474,-273.788405,-7.359491,2.059706,-547.576809,-7.359491,71.114816,1.539346,3.658627,0.731207,213.344449,3.078692,3.658627,426.688898,3.078692,42.325798,1.155731,1.912548,0.186686,126.977395,2.311461,1.912548,253.954790,2.311461,125.013018,4.965803,2.835618,0.311068,375.039055,9.931605,2.835618,750.078111,9.931605,434.455048,15.870500,-4.183255,-0.433765,1303.365145,31.741000,-4.183255,2606.730291,31.741000,-124.096232,-4.335397,-2.701434,-0.008045,-372.288696,-8.670793,-2.701434,-744.577393,-8.670793,-60.406192,-0.727321,3.386918,0.349314,-181.218575,-1.454642,3.386918,-362.437150,-1.454642,-272.589244,-15.532769,-0.140991,-0.397236,-817.767731,-31.065537,-0.140991,-1635.535462,-31.065537,-50.372260,-0.325606,-3.482599,6.295099,-151.116780,-0.651213,-3.482599,-302.233561,-0.651213,63.964319,2.055067,-1.542245,3.213482,191.892956,4.110135,-1.542245,383.785913,4.110135,-226.207268,-3.506801,4.239233,-4.787731,-678.621805,-7.013602,4.239233,-1357.243610,-7.013602,363.845859,16.984467,7.237857,0.441963,1091.537577,33.968935,7.237857,2183.075155,33.968935,-351.451278,-8.261913,-2.005257,3.076694,-1054.353833,-16.523826,-2.005257,-2108.707667,-16.523826,401.577593,15.652830,8.065395,0.389345,1204.732779,31.305659,8.065395,2409.465558,31.305659,1083.625495,50.249728,-0.794382,-3.038267,3250.876484,100.499456,-0.794382,6501.752969,100.499456,18.762481,2.272068,8.336266,0.874433,56.287444,4.544136,8.336266,112.574887,4.544136,258.657134,15.137723,-0.651869,-0.130293,775.971403,30.275447,-0.651869,1551.942806,30.275447,21.600345,0.410451,-0.220275,-0.041723,64.801034,0.820902,-0.220275,129.602069,0.820902,266.480970,11.622866,-0.028503,-0.082773,799.442910,23.245731,-0.028503,1598.885819,23.245731,404.110722,26.901086,1.634835,0.534304,1212.332165,53.802171,1.634835,2424.664330,53.802171,550.776541,35.842959,-0.733105,0.403143,1652.329623,71.685917,-0.733105,3304.659245,71.685917,
0.023333,20.152894,0.583605,0.153509,0.519012,60.458683,1.167211,0.153509,120.917367,1.167211,-32.468150,-2.192413,-1.122985,-0.263330,-97.404449,-4.384826,-1.122985,-194.808898,-4.384826,-90.884469,-4.592374,2.032132,0.971295,-272.653407,-9.184747,2.032132,-545.306814,-9.184747,111.359402,2.250494,3.671260,0.743423,334.078207,4.500988,3.671260,668.156415,4.500988,55.404760,1.578989,1.921664,0.193075,166.214281,3.157977,1.921664,332.428562,3.157977,120.797285,6.215933,2.872890,0.320580,362.391856,12.431866,2.872890,724.783713,12.431866,487.370007,20.215050,-4.062970,-0.447517,1462.110022,40.430101,-4.062970,2924.220043,40.430101,-128.241947,-5.576359,-2.734473,-0.017102,-384.725840,-11.152718,-2.734473,-769.451680,-11.152718,-76.116214,-1.331383,3.380056,0.360593,-228.348641,-2.662766,3.380056,-456.697281,-2.662766,-237.231636,-18.258661,-0.253629,-0.397889,-711.694909,-36.517322,-0.253629,-1423.389817,-36.517322,-77.759981,-0.829329,-3.486448,6.283485,-233.279942,-1.658658,-3.486448,-466.559884,-1.658658,64.571898,2.694711,-1.526412,3.208366,193.715695,5.389421,-1.526412,387.431390,5.389421,-252.188469,-5.768874,4.208314,-4.773648,-756.565406,-11.537747,4.208314,-1513.130813,-11.537747,351.952103,20.622926,7.363215,0.466291,1055.856308,41.245852,7.363215,2111.712616,41.245852,-414.658774,-11.776426,-2.072051,3.069905,-1243.976321,-23.552851,-2.072051,-2487.952642,-23.552851,408.903590,19.668605,8.183133,0.416418,1226.710771,39.337211,8.183133,2453.421541,39.337211,1015.591534,61.085983,-0.423263,-3.040317,3046.774603,122.171966,-0.423263,6093.549205,122.171966,-0.492630,2.459693,8.352038,0.902247,-1.477890,4.919386,8.352038,-2.955780,4.919386,172.717715,17.724295,-0.542329,-0.132289,518.153146,35.448589,-0.542329,1036.306291,35.448589,26.448826,0.626454,-0.216819,-0.042451,79.346479,1.252909,-0.216819,158.692957,1.252909,253.892185,14.287675,0.057866,-0.082729,761.676555,28.575351,0.057866,1523.353109,28.575351,281.082163,30.942193,1.827646,0.540067,843.246488,61.884386,1.827646,1686.492976,61.884386,442.736666,41.350724,-0.475793,0.401118,1328.209997,82.701448,-0.475793,2656.419993,82.701448,
0.026667,22.105210,0.785134,0.158071,0.519531,66.315631,1.570269,0.158071,132.631263,1.570269,-27.716057,-2.517094,-1.138683,-0.267099,-83.148170,-5.034189,-1.138683,-166.296340,-5.034189,-87.144195,-5.501218,1.998487,0.978015,-261.432584,-11.002437,1.998487,-522.865168,-11.002437,131.375181,3.364088,3.689975,0.755689,394.125544,6.728176,3.689975,788.251089,6.728176,61.231258,2.133036,1.934037,0.199501,183.693773,4.266073,1.934037,367.387545,4.266073,118.743782,7.423906,2.918356,0.330230,356.231345,14.847811,2.918356,712.462691,14.847811,504.915094,25.088750,-3.911957,-0.460817,1514.745282,50.177501,-3.911957,3029.490564,50.177501,-127.098701,-6.858779,-2.775923,-0.026284,-381.296102,-13.717557,-2.775923,-762.592204,-13.717557,-89.682609,-2.092545,3.368643,0.371842,-269.047826,-4.185090,3.368643,-538.095652,-4.185090,-186.971306,-20.630977,-0.383261,-0.398946,-560.913918,-41.261955,-0.383261,-1121.827835,-41.261955,-111.139430,-1.606929,-3.494569,6.271851,-333.418291,-3.213858,-3.494569,-666.836582,-3.213858,65.604088,3.340430,-1.506295,3.203311,196.812265,6.680859,-1.506295,393.624530,6.680859,-271.337498,-8.290758,4.161449,-4.759693,-814.012495,-16.581517,4.161449,-1628.024991,-16.581517,328.709758,24.142447,7.512433,0.491077,986.129275,48.284894,7.512433,1972.258549,48.284894,-481.365905,-15.923013,-2.164382,3.062852,-1444.097714,-31.846027,-2.164382,-2888.195428,-31.846027,405.354937,23.757641,8.327887,0.443929,1216.064811,47.515283,8.327887,2432.129621,47.515283,913.977815,71.241898,0.017830,-3.041011,2741.933446,142.483796,0.017830,5483.866891,142.483796,-23.875177,2.454767,8.368420,0.930114,-71.625530,4.909533,8.368420,-143.251060,4.909533,103.095229,19.451472,-0.418410,-0.133893,309.285688,38.902944,-0.418410,618.571375,38.902944,30.585132,0.890943,-0.211761,-0.043166,91.755395,1.781885,-0.211761,183.510789,1.781885,230.244053,16.826597,0.161580,-0.082368,690.732159,33.653194,0.161580,1381.464317,33.653194,145.181246,33.753014,2.043297,0.546514,435.543739,67.506029,2.043297,871.087478,67.506029,326.291231,45.778091,-0.185363,0.400008,978.873694,91.556181,-0.185363,1957.747387,91.556181,
0.030000,23.516301,1.006186,0.164042,0.520067,70.548903,2.012373,0.164042,141.097805,2.012373,-23.317756,-2.794255,-1.156388,-0.270923,-69.953268,-5.588510,-1.156388,-139.906535,-5.588510,-80.730295,-6.372660,1.958907,0.984612,-242.190885,-12.745321,1.958907,-484.381769,-12.745321,133.266357,4.677840,3.716781,0.768031,399.799072,9.355680,3.716781,799.598144,9.355680,59.733637,2.745349,1.950299,0.205973,179.200910,5.490698,1.950299,358.401819,5.490698,118.634909,8.611343,2.971807,0.340044,355.904726,17.222687,2.971807,711.809452,17.222687,491.401308,30.137901,-3.727869,-0.473560,1474.203925,60.275803,-3.727869,2948.407850,60.275803,-122.716836,-8.129766,-2.825885,-0.035618,-368.150508,-16.259531,-2.825885,-736.301016,-16.259531,-100.643129,-2.989371,3.351703,0.383044,-301.929386,-5.978742,3.351703,-603.858772,-5.978742,-126.764971,-22.500690,-0.527033,-0.400460,-380.294914,-45.001381,-0.527033,-760.589828,-45.001381,-146.467709,-2.718323,-3.508987,6.260181,-439.403128,-5.436646,-3.508987,-878.806256,-5.436646,63.593141,3.996470,-1.481839,3.198329,190.779422,7.992941,-1.481839,381.558844,7.992941,-281.872322,-11.004133,4.097133,-4.745924,-845.616966,-22.008267,4.097133,-1691.233932,-22.008267,299.391169,27.429545,7.684340,0.516399,898.173506,54.859089,7.684340,1796.347013,54.859089,-546.568570,-20.736672,-2.286581,3.055442,-1639.705709,-41.473345,-2.286581,-3279.411417,-41.473345,388.903979,27.811191,8.499783,0.471968,1166.711938,55.622382,8.499783,2333.423876,55.622382,786.114723,80.381676,0.523242,-3.040126,2358.344170,160.763353,0.523242,4716.688339,160.763353,-50.608546,2.216015,8.383989,0.958035,-151.825639,4.432030,8.383989,-303.651278,4.432030,51.033548,20.482424,-0.285297,-0.135068,153.100644,40.964848,-0.285297,306.201288,40.964848,33.840735,1.196794,-0.204802,-0.043861,101.522205,2.393588,-0.204802,203.044410,2.393588,197.597311,19.129038,0.281432,-0.081634,592.791933,38.258075,0.281432,1185.583867,38.258075,4.598584,35.204827,2.273156,0.553705,13.795752,70.409654,2.273156,27.591503,70.409654,209.479499,49.041003,0.130700,0.399911,628.438496,98.082006,0.130700,1256.876991,98.082006,
